File,Logic Domain,CEGAR,Cheetah,S52SAT
s4_grz_p.5000.intohylo,s4,-1,-1,-1
s4_grz_p.5500.intohylo,s4,-1,-1,-1
s4_grz_p.6000.intohylo,s4,-1,-1,-1
s4_grz_p.6500.intohylo,s4,-1,-1,-1
s4_grz_p.7000.intohylo,s4,-1,-1,-1
s4_grz_p.7500.intohylo,s4,-1,-1,-1
s4_ipc_n.0001.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0002.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0003.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0004.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0005.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0006.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0007.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0008.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0009.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0010.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0011.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0012.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0013.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0014.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0015.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0016.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0017.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0018.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0019.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0020.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0021.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0022.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0023.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0024.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0025.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0026.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0027.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0028.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0029.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0030.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0031.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0032.intohylo,s4,0.25,0.25,0.25
s4_ipc_n.0033.intohylo,s4,0.25,0.25,0.5
s4_ipc_n.0034.intohylo,s4,0.25,0.25,0.5
s4_ipc_n.0035.intohylo,s4,0.25,0.25,0.5
s4_ipc_n.0036.intohylo,s4,0.25,0.25,0.5
s4_ipc_n.0037.intohylo,s4,0.25,0.25,0.5
s4_ipc_n.0038.intohylo,s4,0.25,0.25,0.5
s4_ipc_n.0039.intohylo,s4,0.25,0.25,1
s4_ipc_n.0040.intohylo,s4,0.25,0.25,0.5
s4_ipc_n.0041.intohylo,s4,0.25,0.25,1
s4_ipc_n.0042.intohylo,s4,0.25,0.25,1
s4_ipc_n.0043.intohylo,s4,0.25,0.25,1
s4_ipc_n.0044.intohylo,s4,0.25,0.25,1
s4_ipc_n.0045.intohylo,s4,0.25,0.25,1
s4_ipc_n.0046.intohylo,s4,0.25,0.25,1
s4_ipc_n.0047.intohylo,s4,0.25,0.25,2
s4_ipc_n.0048.intohylo,s4,0.25,0.25,1
s4_ipc_n.0049.intohylo,s4,0.25,0.25,2
s4_ipc_n.0050.intohylo,s4,0.25,0.25,2
s4_ipc_n.0051.intohylo,s4,0.25,0.25,2
s4_ipc_n.0052.intohylo,s4,0.25,0.25,2
s4_ipc_n.0053.intohylo,s4,0.25,0.25,2
s4_ipc_n.0054.intohylo,s4,0.25,0.25,2
s4_ipc_n.0055.intohylo,s4,0.25,0.25,4
s4_ipc_n.0056.intohylo,s4,0.25,0.25,2
s4_ipc_p.0001.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0002.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0003.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0004.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0005.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0006.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0007.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0008.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0009.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0010.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0011.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0012.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0013.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0014.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0015.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0016.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0017.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0018.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0019.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0020.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0021.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0022.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0023.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0024.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0025.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0026.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0027.intohylo,s4,0.25,0.25,0.25
s4_ipc_p.0028.intohylo,s4,0.25,0.25,0.25
