File,CEGAR,Cheetah,S52SAT
p-qbf-cnfLadn-K4-C50-V4-D4.6.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D4.7.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D4.8.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D6.1.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D6.2.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D6.3.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D6.4.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D6.5.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D6.6.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D6.7.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V4-D6.8.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V8-D4.1.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V8-D4.2.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V8-D4.3.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V8-D4.4.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V8-D4.5.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V8-D4.6.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V8-D4.7.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V8-D4.8.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C50-V8-D6.1.intohylo,0.25,0.25,1.0
p-qbf-cnfLadn-K4-C50-V8-D6.2.intohylo,0.25,0.25,1.0
p-qbf-cnfLadn-K4-C50-V8-D6.3.intohylo,0.25,0.25,1.0
p-qbf-cnfLadn-K4-C50-V8-D6.4.intohylo,0.25,0.25,1.0
p-qbf-cnfLadn-K4-C50-V8-D6.5.intohylo,0.25,0.25,1.0
p-qbf-cnfLadn-K4-C50-V8-D6.6.intohylo,0.25,0.25,1.0
p-qbf-cnfLadn-K4-C50-V8-D6.7.intohylo,0.25,0.25,1.0
p-qbf-cnfLadn-K4-C50-V8-D6.8.intohylo,0.25,0.25,1.0
p-qbf-cnfSSS-K4-C10-V16-D4.1.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D4.2.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D4.3.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D4.4.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D4.5.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D4.6.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D4.7.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D4.8.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D6.1.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D6.2.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D6.3.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D6.4.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D6.5.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D6.6.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D6.7.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V16-D6.8.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V4-D4.1.dfg.asc.intohylo,0.25,0.25,0.25
p-qbf-cnfSSS-K4-C10-V4-D4.2.dfg.asc.intohylo,0.25,0.25,0.25
