File,CEGAR,Cheetah,S52SAT,LCK,KSP
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s4.intohylo",0.08881545066833496,2.151170253753662,9.878417491912842,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s5.intohylo",0.036776065826416016,0.9905238151550293,3.0695180892944336,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s6.intohylo",0.054833412170410156,0.9381072521209717,3.3321428298950195,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s7.intohylo",0.03822064399719238,1.0309295654296875,4.061491012573242,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s8.intohylo",0.03989529609680176,1.0623259544372559,3.151590585708618,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s9.intohylo",0.05529642105102539,1.0717439651489258,7.4344542026519775,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s0.intohylo",0.04090261459350586,0.846721887588501,4.264911413192749,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s1.intohylo",0.050037384033203125,1.0792264938354492,6.021351099014282,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s2.intohylo",0.04297494888305664,1.200699806213379,7.608933925628662,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s3.intohylo",0.03998255729675293,0.9334673881530762,5.274828195571899,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s4.intohylo",0.03809332847595215,1.2218012809753418,3.5514867305755615,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s5.intohylo",0.03913998603820801,1.174896001815796,3.5341796875,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s6.intohylo",0.06835079193115234,1.176363468170166,3.781843423843384,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s7.intohylo",0.046034812927246094,1.2859716415405273,6.720329284667969,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s8.intohylo",0.03796052932739258,1.1341352462768555,3.554826021194458,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s9.intohylo",0.04534173011779785,1.1037700176239014,5.559953927993774,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s0.intohylo",0.0776357650756836,1.863525629043579,6.829008340835571,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s1.intohylo",0.06070303916931152,1.2694895267486572,4.713890790939331,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s2.intohylo",0.05126953125,1.4131715297698975,6.691051483154297,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s3.intohylo",0.042903900146484375,1.5251562595367432,5.526892185211182,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s4.intohylo",0.05181121826171875,1.6312406063079834,4.761433839797974,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s5.intohylo",0.05627012252807617,1.5995228290557861,6.483540296554565,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s6.intohylo",0.050193071365356445,1.4126453399658203,6.757028579711914,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s7.intohylo",0.03975939750671387,1.2901380062103271,4.909581899642944,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s8.intohylo",0.06111955642700195,1.592367172241211,6.692247629165649,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s9.intohylo",0.078582763671875,1.310051679611206,6.618932723999023,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s0.intohylo",0.04595756530761719,2.2068917751312256,8.434621810913086,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s1.intohylo",0.049878835678100586,1.605877161026001,6.82538104057312,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s2.intohylo",0.04269123077392578,1.5024504661560059,5.0334632396698,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s3.intohylo",0.04619789123535156,1.3089842796325684,8.854429960250854,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s4.intohylo",0.04311418533325195,1.4126029014587402,5.355703115463257,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s5.intohylo",0.07927870750427246,1.604996681213379,15.825358867645264,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s6.intohylo",0.04824042320251465,1.3878984451293945,5.375907897949219,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s7.intohylo",0.04205632209777832,1.3492581844329834,5.400420188903809,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s8.intohylo",0.045684099197387695,1.2485060691833496,7.059002876281738,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s9.intohylo",0.04798102378845215,1.4717373847961426,6.1828773021698,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s0.intohylo",0.05350804328918457,1.680039882659912,6.605393409729004,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s1.intohylo",0.04890131950378418,1.7541992664337158,6.684419631958008,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s2.intohylo",0.04473686218261719,1.4999911785125732,7.0593390464782715,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s3.intohylo",0.056836605072021484,1.3579347133636475,7.42090106010437,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s4.intohylo",0.04812216758728027,1.3926923274993896,8.467487096786499,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s5.intohylo",0.06398677825927734,1.6779112815856934,12.019351959228516,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s6.intohylo",0.05083894729614258,1.952852725982666,7.359168767929077,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s7.intohylo",0.0467829704284668,1.7930874824523926,6.634503126144409,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s8.intohylo",0.048377275466918945,1.7831645011901855,7.3442137241363525,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s9.intohylo",0.041033267974853516,1.5425291061401367,6.207330942153931,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s0.intohylo",0.05526113510131836,1.7862365245819092,7.42820930480957,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s1.intohylo",0.06725716590881348,2.153651237487793,10.484724521636963,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s2.intohylo",0.057901620864868164,2.098942995071411,10.303584337234497,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s3.intohylo",0.046468496322631836,1.9660747051239014,7.491823196411133,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s4.intohylo",0.04704689979553223,2.236140489578247,7.774730205535889,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s5.intohylo",0.050137996673583984,2.3753788471221924,7.249720573425293,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s6.intohylo",0.04666495323181152,1.6960480213165283,7.271480321884155,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s7.intohylo",0.05309653282165527,1.5399458408355713,11.568248271942139,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s8.intohylo",0.047686100006103516,1.739450216293335,7.303763151168823,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c320s9.intohylo",0.050667762756347656,1.986534833908081,7.980507850646973,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s0.intohylo",0.02115178108215332,0.17972373962402344,0.6473722457885742,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s1.intohylo",0.024936437606811523,0.10813498497009277,0.6409180164337158,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s2.intohylo",0.021074771881103516,0.17075824737548828,0.5433061122894287,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s3.intohylo",0.02978968620300293,0.17090868949890137,0.8562946319580078,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s4.intohylo",0.0319218635559082,0.18474578857421875,1.1843998432159424,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s5.intohylo",0.03398609161376953,0.1640777587890625,0.6131882667541504,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s6.intohylo",0.02643132209777832,0.14934229850769043,0.6358914375305176,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s7.intohylo",0.02084064483642578,0.1882462501525879,0.6162917613983154,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s8.intohylo",0.05687117576599121,0.19452190399169922,0.8286099433898926,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c120s9.intohylo",0.031208038330078125,0.12915325164794922,0.7604296207427979,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s0.intohylo",0.027107954025268555,0.20442581176757812,0.9286713600158691,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s1.intohylo",0.02326369285583496,0.16077709197998047,0.8506228923797607,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s2.intohylo",0.03827977180480957,0.189971923828125,1.4189682006835938,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s3.intohylo",0.02727985382080078,0.22612762451171875,0.8591151237487793,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s4.intohylo",0.03451848030090332,0.2526252269744873,1.0384106636047363,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s5.intohylo",0.030701637268066406,0.297809362411499,1.5364298820495605,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s6.intohylo",0.023134708404541016,0.237962007522583,0.8341939449310303,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s7.intohylo",0.03402447700500488,0.24656081199645996,1.2541143894195557,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s8.intohylo",0.023799657821655273,0.26174259185791016,0.9660110473632812,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c140s9.intohylo",0.02388787269592285,0.2175443172454834,0.9031322002410889,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s0.intohylo",0.029392242431640625,0.2746720314025879,1.3983895778656006,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s1.intohylo",0.024013757705688477,0.31430840492248535,1.1331684589385986,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s2.intohylo",0.026737689971923828,0.39130449295043945,1.2614808082580566,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s3.intohylo",0.026973247528076172,0.301893949508667,1.2388391494750977,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s4.intohylo",0.026456356048583984,0.3325691223144531,1.3234751224517822,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s5.intohylo",0.03277993202209473,0.37181711196899414,2.257634401321411,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s6.intohylo",0.025115966796875,0.24768280982971191,1.068669080734253,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s7.intohylo",0.04492902755737305,0.27768445014953613,1.244234323501587,-1.0,-1.0
"v04m1d2C[[0,2,3]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c160s8.intohylo",0.027346134185791016,0.35817933082580566,1.3523008823394775,-1.0,-1.0
